observation_date,TWEXO
2006-01-04,137.1400
2006-01-11,136.1754
2006-01-18,136.0704
2006-01-25,135.7696
2006-02-01,135.2794
2006-02-08,135.4693
2006-02-15,135.3535
2006-02-22,135.2273
2006-03-01,135.0683
2006-03-08,135.5347
2006-03-15,135.8148
2006-03-22,135.5826
2006-03-29,136.2520
2006-04-05,135.8150
2006-04-12,135.9262
2006-04-19,135.8317
2006-04-26,135.5185
2006-05-03,135.0350
2006-05-10,134.3477
2006-05-17,135.0841
2006-05-24,136.4578
2006-05-31,136.5591
2006-06-07,136.7390
2006-06-14,137.4463
2006-06-21,137.3051
2006-06-28,137.4030
2006-07-05,136.3855
2006-07-12,135.6875
2006-07-19,136.1129
2006-07-26,135.7318
2006-08-02,135.5459
2006-08-09,135.4516
2006-08-16,135.1632
2006-08-23,134.9195
2006-08-30,135.4093
2006-09-06,135.0693
2006-09-13,135.4645
2006-09-20,135.1928
2006-09-27,135.3047
2006-10-04,135.1343
2006-10-11,135.2501
2006-10-18,134.7157
2006-10-25,134.5003
2006-11-01,133.8471
2006-11-08,133.8358
2006-11-15,133.8837
2006-11-22,134.1304
2006-11-29,133.9939
2006-12-06,133.2098
2006-12-13,132.8057
2006-12-20,132.8083
2006-12-27,132.9791
2007-01-03,132.6351
2007-01-10,133.2271
2007-01-17,133.1903
2007-01-24,132.8694
2007-01-31,133.1298
2007-02-07,132.6731
2007-02-14,132.6108
2007-02-21,132.4102
2007-02-28,132.7182
2007-03-07,133.0788
2007-03-14,132.8970
2007-03-21,132.6580
2007-03-28,132.0846
2007-04-04,131.9783
2007-04-11,131.6843
2007-04-18,131.5054
2007-04-25,131.2821
2007-05-02,131.1466
2007-05-09,130.6699
2007-05-16,130.3314
2007-05-23,130.0530
2007-05-30,129.9608
2007-06-06,129.8026
2007-06-13,130.6034
2007-06-20,129.9075
2007-06-27,130.0394
2007-07-04,129.5702
2007-07-11,129.3149
2007-07-18,128.8668
2007-07-25,128.6489
2007-08-01,129.5530
2007-08-08,129.5746
2007-08-15,130.3014
2007-08-22,131.4293
2007-08-29,130.7549
2007-09-05,130.5599
2007-09-12,130.3777
2007-09-19,129.8030
2007-09-26,128.8427
2007-10-03,128.3776
2007-10-10,128.0204
2007-10-17,127.8567
2007-10-24,127.9171
2007-10-31,127.1437
2007-11-07,126.7842
2007-11-14,126.9698
2007-11-21,127.4668
2007-11-28,127.5168
2007-12-05,127.0048
2007-12-12,126.5813
2007-12-19,126.9513
2007-12-26,126.7759
2008-01-02,126.3521
2008-01-09,126.0006
2008-01-16,125.6634
2008-01-23,126.0698
2008-01-30,125.4104
2008-02-06,124.8802
2008-02-13,124.9397
2008-02-20,124.6531
2008-02-27,124.0914
2008-03-05,123.4552
2008-03-12,123.7287
2008-03-19,123.6743
2008-03-26,123.4343
2008-04-02,122.9701
2008-04-09,122.6905
2008-04-16,122.2712
2008-04-23,122.2119
2008-04-30,122.4810
2008-05-07,122.6265
2008-05-14,123.3708
2008-05-21,122.9181
2008-05-28,122.6125
2008-06-04,122.2198
2008-06-11,122.4722
2008-06-18,122.3011
2008-06-25,122.0160
2008-07-02,122.1988
2008-07-09,121.9581
2008-07-16,121.3733
2008-07-23,121.0339
2008-07-30,120.8391
2008-08-06,121.0503
2008-08-13,122.2232
2008-08-20,122.8446
2008-08-27,122.7841
2008-09-03,123.8952
2008-09-10,125.1890
2008-09-17,126.1496
2008-09-24,126.0621
2008-10-01,127.0744
2008-10-08,131.3341
2008-10-15,133.6905
2008-10-22,135.3547
2008-10-29,137.4690
2008-11-05,134.2778
2008-11-12,135.3339
2008-11-19,137.4189
2008-11-26,139.0284
2008-12-03,138.9891
2008-12-10,139.3779
2008-12-17,136.7365
2008-12-24,135.9441
2008-12-31,136.6190
2009-01-07,136.6399
2009-01-14,137.9522
2009-01-21,138.9823
2009-01-28,139.3748
2009-02-04,140.4939
2009-02-11,140.1384
2009-02-18,141.4377
2009-02-25,142.9930
2009-03-04,144.4432
2009-03-11,144.3140
2009-03-18,141.4690
2009-03-25,139.8832
2009-04-01,140.1774
2009-04-08,138.1828
2009-04-15,137.0900
2009-04-22,137.2548
2009-04-29,137.9877
2009-05-06,136.5746
2009-05-13,135.2655
2009-05-20,135.0710
2009-05-27,134.6588
2009-06-03,134.3670
2009-06-10,134.9151
2009-06-17,134.9984
2009-06-24,135.1738
2009-07-01,134.7467
2009-07-08,135.0618
2009-07-15,136.1548
2009-07-22,134.6748
2009-07-29,134.1395
2009-08-05,133.6610
2009-08-12,133.4932
2009-08-19,133.6990
2009-08-26,133.5591
2009-09-02,134.7633
2009-09-09,134.3871
2009-09-16,133.7395
2009-09-23,133.1819
2009-09-30,133.3884
2009-10-07,133.1547
2009-10-14,131.8679
2009-10-21,131.4787
2009-10-28,132.0254
2009-11-04,132.3645
2009-11-11,132.0895
2009-11-18,131.3456
2009-11-25,131.2917
2009-12-02,131.0963
2009-12-09,130.8850
2009-12-16,131.2378
2009-12-23,131.8725
2009-12-30,131.7518
2010-01-06,130.9848
2010-01-13,130.4502
2010-01-20,130.9048
2010-01-27,132.0039
2010-02-03,132.3303
2010-02-10,133.0323
2010-02-17,132.1679
2010-02-24,131.9546
2010-03-03,131.6259
2010-03-10,130.9611
2010-03-17,130.5066
2010-03-24,130.6526
2010-03-31,130.4106
2010-04-07,129.5816
2010-04-14,129.2086
2010-04-21,129.2310
2010-04-28,129.2845
2010-05-05,129.5624
2010-05-12,130.8552
2010-05-19,131.0373
2010-05-26,133.2278
2010-06-02,132.5812
2010-06-09,132.8445
2010-06-16,132.1333
2010-06-23,131.1325
2010-06-30,131.7398
2010-07-07,132.2170
2010-07-14,131.3557
2010-07-21,131.5932
2010-07-28,131.0019
2010-08-04,130.3273
2010-08-11,130.2108
2010-08-18,130.6063
2010-08-25,131.0546
2010-09-01,131.5429
2010-09-08,131.0457
2010-09-15,130.1669
2010-09-22,129.5187
2010-09-29,128.4849
2010-10-06,127.9663
2010-10-13,127.4081
2010-10-20,127.0970
2010-10-27,127.3810
2010-11-03,127.2811
2010-11-10,126.5887
2010-11-17,127.3877
2010-11-24,127.5002
2010-12-01,128.3033
2010-12-08,127.5638
2010-12-15,127.6381
2010-12-22,127.7234
2010-12-29,127.1211
2011-01-05,126.2440
2011-01-12,126.4808
2011-01-19,125.7239
2011-01-26,125.8370
2011-02-02,125.8195
2011-02-09,125.3303
2011-02-16,125.8301
2011-02-23,125.6506
2011-03-02,125.7304
2011-03-09,125.0924
2011-03-16,125.3519
2011-03-23,125.2811
2011-03-30,124.8130
2011-04-06,123.9823
2011-04-13,123.5592
2011-04-20,123.2888
2011-04-27,122.6463
2011-05-04,122.1714
2011-05-11,122.7116
2011-05-18,123.3614
2011-05-25,123.3537
2011-06-01,122.8109
2011-06-08,122.6884
2011-06-15,123.1370
2011-06-22,123.2568
2011-06-29,123.2525
2011-07-06,122.3363
2011-07-13,122.3726
2011-07-20,122.3576
2011-07-27,121.7272
2011-08-03,121.9478
2011-08-10,123.6512
2011-08-17,123.4224
2011-08-24,123.7117
2011-08-31,123.7835
2011-09-07,123.8768
2011-09-14,125.4842
2011-09-21,127.3287
2011-09-28,129.6630
2011-10-05,130.1774
2011-10-12,128.7145
2011-10-19,128.1895
2011-10-26,128.5487
2011-11-02,127.3140
2011-11-09,127.8854
2011-11-16,128.5864
2011-11-23,129.8730
2011-11-30,130.4866
2011-12-07,128.8125
2011-12-14,129.9588
2011-12-21,130.2642
2011-12-28,130.1136
2012-01-04,129.7253
2012-01-11,129.4401
2012-01-18,128.5629
2012-01-25,127.5015
2012-02-01,126.5631
2012-02-08,125.4584
2012-02-15,125.6793
2012-02-22,125.8656
2012-02-29,125.7251
2012-03-07,126.0138
2012-03-14,126.0032
2012-03-21,126.1146
2012-03-28,126.3209
2012-04-04,126.3271
2012-04-11,127.0237
2012-04-18,127.1958
2012-04-25,127.4744
2012-05-02,126.9434
2012-05-09,127.8183
2012-05-16,129.2244
2012-05-23,130.4178
2012-05-30,131.2593
2012-06-06,132.1090
2012-06-13,131.3618
2012-06-20,130.9054
2012-06-27,131.2159
2012-07-04,129.9004
2012-07-11,129.8882
2012-07-18,129.7795
2012-07-25,130.2986
2012-08-01,129.6486
2012-08-08,129.1798
2012-08-15,129.0367
2012-08-22,129.1468
2012-08-29,129.2101
2012-09-05,129.3305
2012-09-12,128.4223
2012-09-19,127.4093
2012-09-26,127.4754
2012-10-03,127.1292
2012-10-10,126.9804
2012-10-17,126.8504
2012-10-24,126.9448
2012-10-31,127.1093
2012-11-07,127.1566
2012-11-14,127.5088
2012-11-21,127.4506
2012-11-28,127.1067
2012-12-05,126.8746
2012-12-12,126.5432
2012-12-19,126.3834
2012-12-26,126.7101
2013-01-02,126.5309
2013-01-09,126.0870
2013-01-16,125.6186
2013-01-23,125.5660
2013-01-30,125.9285
2013-02-06,125.9403
2013-02-13,126.3356
2013-02-20,126.2889
2013-02-27,126.6842
2013-03-06,126.6553
2013-03-13,126.1409
2013-03-20,126.0590
2013-03-27,125.9764
2013-04-03,125.8691
2013-04-10,125.6308
2013-04-17,125.2389
2013-04-24,125.5204
2013-05-01,124.9394
2013-05-08,124.5722
2013-05-15,124.8876
2013-05-22,125.6134
2013-05-29,126.4786
2013-06-05,127.2762
2013-06-12,127.6178
2013-06-19,127.6039
2013-06-26,129.7289
2013-07-03,128.7247
2013-07-10,128.9029
2013-07-17,127.9447
2013-07-24,127.5864
2013-07-31,128.2075
2013-08-07,128.2946
2013-08-14,128.0664
2013-08-21,129.2881
2013-08-28,130.1775
2013-09-04,130.5207
2013-09-11,129.7518
2013-09-18,128.8424
2013-09-25,127.9364
2013-10-02,128.7840
2013-10-09,128.6391
2013-10-16,127.9921
2013-10-23,127.4037
2013-10-30,127.4961
2013-11-06,128.3612
2013-11-13,128.9994
2013-11-20,128.3867
2013-11-27,128.8400
2013-12-04,129.2812
2013-12-11,128.5065
2013-12-18,128.6669
2013-12-25,129.0142
2014-01-01,129.0906
2014-01-08,129.2895
2014-01-15,129.1311
2014-01-22,129.8924
2014-01-29,130.7297
2014-02-05,130.9134
2014-02-12,130.4806
2014-02-19,130.2686
2014-02-26,130.6287
2014-03-05,130.8098
2014-03-12,130.5684
2014-03-19,130.8748
2014-03-26,131.2282
2014-04-02,130.4828
2014-04-09,130.1303
2014-04-16,130.0927
2014-04-23,130.3265
2014-04-30,130.6634
2014-05-07,130.1745
2014-05-14,129.6777
2014-05-21,129.5865
2014-05-28,129.5804
2014-06-04,129.8358
2014-06-11,129.7453
2014-06-18,129.8734
2014-06-25,129.7908
2014-07-02,129.3995
2014-07-09,129.2619
2014-07-16,129.3654
2014-07-23,129.4269
2014-07-30,129.4439
2014-08-06,130.2220
2014-08-13,130.1102
2014-08-20,129.5557
2014-08-27,129.7420
2014-09-03,129.7366
2014-09-10,129.9706
2014-09-17,130.6329
2014-09-24,131.0840
2014-10-01,131.9226
2014-10-08,132.1576
2014-10-15,132.0180
2014-10-22,132.2082
2014-10-29,132.1924
2014-11-05,132.6747
2014-11-12,133.4267
2014-11-19,133.8450
2014-11-26,134.0511
2014-12-03,135.7158
2014-12-10,136.9060
2014-12-17,138.5176
2014-12-24,138.4298
2014-12-31,138.5048
2015-01-07,139.3741
2015-01-14,138.4645
2015-01-21,138.4643
2015-01-28,138.5691
2015-02-04,139.7998
2015-02-11,139.8637
2015-02-18,139.9444
2015-02-25,140.3581
2015-03-04,140.4163
2015-03-11,142.2634
2015-03-18,142.4402
2015-03-25,140.6304
2015-04-01,140.7817
2015-04-08,139.5241
2015-04-15,140.2483
2015-04-22,140.0839
2015-04-29,139.5079
2015-05-06,140.1083
2015-05-13,139.9649
2015-05-20,139.4908
2015-05-27,140.3284
2015-06-03,141.0273
2015-06-10,141.7259
2015-06-17,141.3165
2015-06-24,140.8701
2015-07-01,141.8186
2015-07-08,142.4401
2015-07-15,142.5145
2015-07-22,143.3116
2015-07-29,144.4777
2015-08-05,145.0326
2015-08-12,146.0527
2015-08-19,148.1485
2015-08-26,150.0289
2015-09-02,149.4798
2015-09-09,149.8883
2015-09-16,149.6798
2015-09-23,149.8488
2015-09-30,150.8798
2015-10-07,149.3957
2015-10-14,147.8890
2015-10-21,147.8178
2015-10-28,148.0905
2015-11-04,147.9767
2015-11-11,148.9152
2015-11-18,149.7116
2015-11-25,148.8832
2015-12-02,149.2797
2015-12-09,150.1941
2015-12-16,151.8761
2015-12-23,152.2251
2015-12-30,152.4141
2016-01-06,153.5572
2016-01-13,155.6535
2016-01-20,156.7495
2016-01-27,157.0088
2016-02-03,156.4377
2016-02-10,156.3827
2016-02-17,156.9226
2016-02-24,155.6924
2016-03-02,155.4468
2016-03-09,153.5904
2016-03-16,153.4123
2016-03-23,151.4509
2016-03-30,151.9380
2016-04-06,151.2219
2016-04-13,151.3965
2016-04-20,150.5981
2016-04-27,151.0613
2016-05-04,150.7268
2016-05-11,152.5739
2016-05-18,153.4436
2016-05-25,154.7254
2016-06-01,154.8327
2016-06-08,154.1842
2016-06-15,154.5760
2016-06-22,154.5908
2016-06-29,154.9570
2016-07-06,154.7467
2016-07-13,154.6642
2016-07-20,154.2790
2016-07-27,154.9371
2016-08-03,154.4832
2016-08-10,153.6952
2016-08-17,152.4789
2016-08-24,153.2570
2016-08-31,154.1733
2016-09-07,153.8573
2016-09-14,154.9972
2016-09-21,156.3054
2016-09-28,155.8178
2016-10-05,155.3007
2016-10-12,155.5770
2016-10-19,155.5216
2016-10-26,155.2519
2016-11-02,156.2221
2016-11-09,156.3415
2016-11-16,160.9053
2016-11-23,161.5842
2016-11-30,161.9645
2016-12-07,161.4814
2016-12-14,160.8276
2016-12-21,162.2015
2016-12-28,162.6559
2017-01-04,162.9087
2017-01-11,163.3147
2017-01-18,162.6654
2017-01-25,162.2151
2017-02-01,161.2114
2017-02-08,159.8228
2017-02-15,159.4401
2017-02-22,159.2912
2017-03-01,158.3151
2017-03-08,158.6309
2017-03-15,158.7454
2017-03-22,156.9060
2017-03-29,156.1038
2017-04-05,155.9368
2017-04-12,156.1835
2017-04-19,155.6531
2017-04-26,156.2438
2017-05-03,156.3227
2017-05-10,156.8802
2017-05-17,155.7454
2017-05-24,156.0034
2017-05-31,155.2215
2017-06-07,154.4949
2017-06-14,153.9023
2017-06-21,154.3442
2017-06-28,154.3144
2017-07-05,154.5972
2017-07-12,154.5022
2017-07-19,152.7428
2017-07-26,152.6386
2017-08-02,152.5860
2017-08-09,152.7787
2017-08-16,152.4387
2017-08-23,152.0671
2017-08-30,151.4824
2017-09-06,150.8303
2017-09-13,150.1232
2017-09-20,150.6867
2017-09-27,151.7908
2017-10-04,152.9566
2017-10-11,153.1459
2017-10-18,153.5201
2017-10-25,154.1395
2017-11-01,154.4724
2017-11-08,154.2531
2017-11-15,154.4691
2017-11-22,153.4514
2017-11-29,152.2531
2017-12-06,152.7812
2017-12-13,153.6183
2017-12-20,153.4360
2017-12-27,153.8118
2018-01-03,152.7975
2018-01-10,151.9550
2018-01-17,150.9122
2018-01-24,149.7132
2018-01-31,148.5938
2018-02-07,150.3234
2018-02-14,152.9665
2018-02-21,152.3588
2018-02-28,152.7099
2018-03-07,153.0472
2018-03-14,152.5832
2018-03-21,152.9749
2018-03-28,152.1704
2018-04-04,151.6105
2018-04-11,151.9512
2018-04-18,151.6551
2018-04-25,153.6392
2018-05-02,154.5635
2018-05-09,156.2176
2018-05-16,156.5617
2018-05-23,157.6959
2018-05-30,157.7161
2018-06-06,158.3786
2018-06-13,159.2627
2018-06-20,160.4951
2018-06-27,161.0324
2018-07-04,161.8425
2018-07-11,160.4701
2018-07-18,160.5971
2018-07-25,161.7450
2018-08-01,160.9949
2018-08-08,161.4218
2018-08-15,163.5638
2018-08-22,163.9567
2018-08-29,164.3780
2018-09-05,166.0773
2018-09-12,166.3143
2018-09-19,165.4431
2018-09-26,165.2268
2018-10-03,164.9879
2018-10-10,166.2561
2018-10-17,165.6579
2018-10-24,166.9173
2018-10-31,168.1770
2018-11-07,167.6611
2018-11-14,168.8460
2018-11-21,168.5272
2018-11-28,169.3286
2018-12-05,168.3094
2018-12-12,168.8687
2018-12-19,168.9179
2018-12-26,168.5698
2019-01-02,167.6801
2019-01-09,166.5382
2019-01-16,165.0978
2019-01-23,165.7504
2019-01-30,165.2523
2019-02-06,165.0927
2019-02-13,165.9094
2019-02-20,166.1300
2019-02-27,165.0977
2019-03-06,165.6571
2019-03-13,166.2514
2019-03-20,165.2870
2019-03-27,165.5015
2019-04-03,166.0535
2019-04-10,165.3770
2019-04-17,165.0036
2019-04-24,165.4673
2019-05-01,166.3941
2019-05-08,166.8547
2019-05-15,168.3491
2019-05-22,169.0251
2019-05-29,169.1184
2019-06-05,169.5695
2019-06-12,169.0708
2019-06-19,168.7455
2019-06-26,167.4503
2019-07-03,167.3997
2019-07-10,167.5001
2019-07-17,167.2885
2019-07-24,167.4487
2019-07-31,167.7801
2019-08-07,170.7609
2019-08-14,171.8835
2019-08-21,172.5340
2019-08-28,174.0251
2019-09-04,174.6278
2019-09-11,172.9506
2019-09-18,171.8783
2019-09-25,172.5700
2019-10-02,173.5634
2019-10-09,173.1091
2019-10-16,171.9765
2019-10-23,171.1333
2019-10-30,170.7786
2019-11-06,170.4217
2019-11-13,170.7224
2019-11-20,171.4805
2019-11-27,172.0588
2019-12-04,172.5407
2019-12-11,171.6827
2019-12-18,170.2623
2019-12-25,170.0847
2020-01-01,169.6171
